20
0;John;Smith;25;Google;01/01/2010;10/10/2011;Microsoft;23/1/2012;10/10/2012;Apple;01/01/2014;10/10/2015
1;Jane;Doe;30;Amazon;01/01/2012;10/10/2013;IBM;15/1/2014;20/12/2015
2;Alex;Johnson;35;Intel;01/01/2013;10/10/2014;Facebook;15/1/2015;20/12/2016
3;Sarah;Williams;28;Netflix;01/01/2014;10/10/2015;Google;15/1/2019;20/12/2019
4;Michael;Brown;32;Adobe;01/01/2015;10/10/2016;Oracle;15/1/2017;20/12/2018
5;Emily;Jones;27;Salesforce;01/01/2016;10/10/2017;VMware;15/1/2018;20/12/2019
6;David;Miller;29;Spotify;01/01/2017;10/10/2018;Google;15/1/2019;20/12/2019
7;Olivia;Smith;31;Tesla;01/01/2018;10/10/2019;PayPal;15/1/2019;20/12/2019
8;Ethan;Wilson;26;Adobe;01/01/2019;10/10/2019;Netflix;15/1/2019;20/12/2019
9;Ava;Anderson;33;Slack;01/01/2019;10/10/2019;Apple;15/1/2019;20/12/2019
10;Noah;Taylor;28;Zoom;01/01/2019;10/10/2019;Adobe;15/1/2019;20/12/2019
11;Sophia;Thomas;30;IBM;01/01/2019;10/10/2019;Google;15/1/2019;20/12/2019
12;Mason;Johnson;27;Spotify;01/01/2019;10/10/2019;PayPal;15/1/2019;20/12/2019
13;Isabella;Brown;29;Facebook;01/01/2019;10/10/2019;Apple;15/1/2019;20/12/2019
14;Liam;Davis;31;Adobe;01/01/2019;10/10/2019;Facebook;15/1/2015;20/12/2016
15;Mia;Wilson;28;Microsoft;01/01/2019;10/10/2019;Amazon;15/1/2019;20/12/2019
16;Benjamin;Jones;30;Oracle;01/01/2019;10/10/2019;Google;15/1/2019;20/12/2019
17;Amelia;Taylor;27;Slack;01/01/2019;10/10/2019;VMware;15/1/2018;20/12/2019
18;James;Anderson;29;Tesla;01/01/2019;10/10/2019;Netflix;15/1/2019;20/12/2019
19;Evelyn;Clark;31;Apple;01/01/2019;10/10/2019;Microsoft;15/1/2019;20/12/2019
